1,DEE-RE-JP-AII,2,U,,,,,,,,,,
131,+,GATE SIG:79,500,20,2756.3975,7634.5025,S,333.44,4,E,E,E,STR
132,+,L XING:79,500,20,2756.2636,7634.5758,S,333.44,9,E,E,E,STR
133,IB,IBS DISTANT,500,20,2756.2618,7634.5748,S,333.44,50,E,E,E,STR
134,IB,INN DIST,500,20,2755.7851,7634.8314,S,333.44,26,E,E,E,STR
135,+,L XING:80,500,20,2755.6489,7634.9062,S,333.44,9,E,E,E,STR
136,IB,IBS SIGNAL,500,20,2755.2563,7635.1175,S,333.44,19,E,E,E,STR
137,+,L XING:81,500,20,2754.9233,7635.2966,S,333.44,9,E,E,E,STR
138,+,GATE SIG:82,500,20,2754.755,7635.3854,S,333.44,4,E,E,E,STR
139,+,L XING:82,500,20,2754.6513,7635.4431,S,333.44,9,E,E,E,STR
140,+,HALT:KNAR,500,20,2754.6532,7635.4386,S,333.44,5,E,E,E,STR
141,HSI,HSI DIST,500,20,2753.4625,7636.0793,S,333.44,3,E,E,E,STR
142,HSI,INN DIST,500,20,2752.9254,7636.372,S,333.44,26,E,E,E,STR
143,HSI,HSI HOME,500,20,2752.3651,7636.6719,S,333.44,7,E,E,E,STR
144,+,L XING:86,500,20,2752.1397,7636.794,S,333.44,9,E,E,E,STR
145,HSI,HSI STR,500,20,2751.8139,7636.9671,S,333.44,11,E,E,E,STR
146,+,L XING:87,500,20,2751.6675,7637.0461,S,333.44,9,E,E,E,STR
147,HSI,HSI ADV STR,500,20,2751.6718,7637.0434,S,333.44,2,E,E,E,STR
148,+,L XING:88,500,20,2751.3135,7637.1435,S,333.44,9,E,E,E,STR
149,GATE,GATE DIST,500,20,2751.1329,7637.1818,S,333.44,34,E,E,E,STR
150,GATE,INN DIST,500,20,2750.5708,7637.3066,S,333.44,26,E,E,E,STR
151,+,GATE SIG 90,500,20,2750.043,7637.4385,S,333.44,4,E,E,E,STR
152,+,L XING:90,500,20,2749.9533,7637.4845,S,333.44,9,E,E,E,STR
153,.,DJ OPEN,240,20,2749.7219,7637.6518,S,333.44,24,E,E,E,STR
154,GATE,INN DIST,500,20,2749.4777,7637.8363,S,333.44,26,E,E,E,STR
155,+,GATE SIG:91,500,20,2749.0008,7638.1956,S,333.44,4,E,E,E,STR
156,+,L XING:91,500,20,2748.9463,7638.2361,S,333.44,9,E,E,E,STR
157,+,PSR:100KMPH,500,20,2748.8736,7638.2889,S,333.44,44,E,E,E,STR
158,+,GATE SIG:92,500,20,2748.7599,7638.3744,S,333.44,4,E,E,E,STR
